,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,new_addition
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20,2023-04-25 08:45:10,2023-04-25 08:37:47,776.0,139.0,87.0,9.0,149.0,8.0,144.0,400.0,2023-04-23 02:40:10,3.5.3,6239.0,164.0,59.0,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）.,19.0,19,True,1,,,,,,
1,Srun,https://github.com/vouv/srun,vouv/srun,tool,['go'],https://github.com/vouv/srun,MIT,2018-09-13 14:25:59,2022-10-17 15:36:10,2022-10-17 15:36:06,152.0,,24.0,4.0,3.0,,6.0,86.0,2021-01-02 10:19:25,1.1.5,1065.0,23.0,25.0,北京理工大学校园网命令行登录工具，多系统支持.,5.0,13,True,1,,,,,,
2,bitsrun,https://github.com/BITNP/bitsrun,BITNP/bitsrun,tool,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05,2023-04-25 05:00:45,2023-04-04 03:22:15,117.0,26.0,6.0,2.0,29.0,2.0,5.0,32.0,2023-04-04 03:24:51,3.5.1,,199.0,7.0,A headless login / logout script for 10.0.0.55 at BIT. 北京理工大学 10.0.0.55 校园网登录登出的 Python 实现.,7.0,13,True,1,bitsrun,https://pypi.org/project/bitsrun,199.0,,,
3,BitSrunLoginGo,https://github.com/Mmx233/BitSrunLoginGo,Mmx233/BitSrunLoginGo,tool,['go'],https://github.com/Mmx233/BitSrunLoginGo,AGPL-3.0,2021-03-13 08:45:26,2023-04-12 02:45:45,2023-04-12 02:45:29,251.0,15.0,20.0,1.0,3.0,1.0,17.0,138.0,2023-01-14 12:40:00,3.7,1687.0,67.0,29.0,深澜校园网登录程序 Go 语言版，适用于路由器、windows、linux 等。提供对 OpenWrt、Docker、Go Module 的支持.,4.0,12,True,2,,,,,,
4,BIThesis-wiki,https://github.com/BITNP/BIThesis-wiki,BITNP/BIThesis-wiki,website,['latex'],https://github.com/BITNP/BIThesis-wiki,CC0-1.0,2020-11-25 12:05:29,2023-04-25 09:29:29,2023-04-25 01:35:26,380.0,58.0,3.0,5.0,43.0,7.0,26.0,6.0,,,,,,非官方本科生毕业设计论文/研究生学位论文 LaTeX 模板（以及更多）在线文档.,13.0,11,True,1,,,,,,
5,BIT-Thesis,https://github.com/BIT-thesis/LaTeX-template,BIT-thesis/LaTeX-template,template,['latex'],https://github.com/BIT-thesis/LaTeX-template,,2017-03-08 01:23:55,2021-11-01 07:48:29,2018-11-09 03:32:21,105.0,,88.0,17.0,12.0,21.0,22.0,315.0,2018-11-09 03:35:12,1.5,,,5.0,LaTeX template for BIT thesis.,6.0,10,False,1,,,,,,
6,Web VPN Converter,https://webvpn.swo.moe/,spencerwooo/bit-webvpn-converter,website,['Web'],https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50,2023-04-28 05:46:21,2023-04-28 05:46:19,143.0,55.0,23.0,3.0,94.0,1.0,7.0,68.0,,,,,,Web VPN converter.,7.0,10,True,2,,,,,,
7,BIT-CS,https://github.com/xiabee/BIT-CS,xiabee/BIT-CS,learning,,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55,2021-12-14 11:20:18,2021-12-14 11:18:13,67.0,,29.0,4.0,,1.0,3.0,115.0,,,,,,北京理工大学计算机学院课程代码/历年试卷/知识点总结等，欢迎PR.,,9,False,1,,,,,,
8,BIT-srun-login-script,https://github.com/coffeehat/BIT-srun-login-script,coffeehat/BIT-srun-login-script,tool,['python'],https://github.com/coffeehat/BIT-srun-login-script,MIT,2020-04-01 14:17:26,2022-09-13 12:27:19,2022-09-13 12:27:19,19.0,,37.0,3.0,5.0,,3.0,120.0,,,,,,北京理工大学深澜校园网登录脚本，以实现命令行登录或者断线重连等，仅提供登录功能.,5.0,8,True,2,,,,,,
9,BITCS Coursework,https://github.com/spencerwooo/BITCS-Coursework,spencerwooo/BITCS-Coursework,learning,,https://github.com/spencerwooo/BITCS-Coursework,CC-BY-SA-4.0,2019-04-29 15:24:01,2021-06-07 05:15:07,2020-01-11 10:15:06,17.0,,26.0,3.0,1.0,,,116.0,,,,,,不完整北京理工大学计算机学院课程项目资料清单。.,2.0,7,False,2,,,,,,
10,BIT-CS-Learning,https://github.com/songshangru/BIT-CS-Learning,songshangru/BIT-CS-Learning,learning,,https://github.com/songshangru/BIT-CS-Learning,,2021-01-01 06:09:41,2023-04-23 07:22:04,2023-04-23 07:22:04,91.0,8.0,47.0,4.0,14.0,,2.0,109.0,,,,,,保存一下我自己整理的北理工计科的学习资料，欢迎分享资源.,4.0,7,True,2,,,,,,
11,BITthesis,https://github.com/qiuzhu/BITthesis,qiuzhu/BITthesis,template,['latex'],https://github.com/qiuzhu/BITthesis,GPL-3.0,2016-08-17 08:41:37,2017-10-11 05:32:37,2017-09-08 12:53:22,142.0,,19.0,5.0,6.0,2.0,,57.0,2017-08-11 09:39:55,1.3,,,4.0,Thesis Template of Beijing Institute of Technology Using LaTeX.,2.0,7,False,2,,,,,,
12,BIT101,https://bit101.cn,flwfdd/BIT101,website,"['Web', 'python']",https://github.com/flwfdd/BIT101,MIT,2022-02-22 13:24:29,2023-03-30 11:27:26,2023-03-07 09:07:09,41.0,6.0,3.0,2.0,1.0,3.0,6.0,49.0,,,,,,百丽宫攻略、课程评价及资料、课表、查成绩。.,2.0,7,True,2,,,,,,
