,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,npm_id,dependent_project_count,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,new_addition,updated_github_id
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20,2024-05-25 08:45:30,2024-05-25 08:45:13,1070.0,106.0,98.0,10.0,257.0,6.0,214.0,658.0,2024-05-04 11:53:54.000,3.7.7,11491.0,225.0,83.0,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）.,26.0,21,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BitSrunLoginGo,https://github.com/Mmx233/BitSrunLoginGo,Mmx233/BitSrunLoginGo,srun,['go'],https://github.com/Mmx233/BitSrunLoginGo,AGPL-3.0,2021-03-13 08:45:26,2024-05-13 08:42:23,2024-05-13 08:42:10,335.0,8.0,26.0,1.0,4.0,,29.0,253.0,2024-03-23 11:57:42.000,1.5.2,3560.0,93.0,39.0,深澜校园网登录程序 Go 语言版，适用于路由器、Windows、Linux 等。提供对 OpenWrt、Docker、Go Module 的支持.,6.0,15,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,QtUnblockNeteaseMusic,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,FrzMtrsprt/QtUnblockNeteaseMusic,apollo,,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,GPL-3.0,2022-07-22 02:48:10,2024-04-07 14:30:38,2024-04-07 14:30:33,218.0,9.0,11.0,2.0,,4.0,22.0,505.0,2024-03-14 13:18:30.000,1.5.2,9090.0,413.0,17.0,"A desktop client for UnblockNeteaseMusic, made with Qt.",1.0,14,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,zu1k/srun,https://github.com/zu1k/srun,zu1k/srun,srun,['rust'],https://github.com/zu1k/srun,GPL-3.0,2021-11-02 13:52:39,2024-05-02 01:52:28,2024-05-02 01:52:28,97.0,7.0,26.0,2.0,24.0,1.0,11.0,191.0,2024-04-18 10:45:55.000,0.6.0,2313.0,77.0,20.0,srun 深澜认证登录，超轻量、多平台，支持多拨、自动探测IP、指定网卡.,6.0,13,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,vouv/srun,https://github.com/vouv/srun,vouv/srun,srun,['go'],https://github.com/vouv/srun,MIT,2018-09-13 14:25:59,2023-07-24 14:48:53,2023-07-08 08:40:31,154.0,,26.0,4.0,6.0,,6.0,105.0,2021-01-02 10:19:25.000,1.1.5,1372.0,23.0,25.0,北京理工大学校园网命令行登录工具，多系统支持.,6.0,13,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bitsrun,https://github.com/BITNP/bitsrun,BITNP/bitsrun,srun,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05,2024-05-16 17:54:36,2024-04-07 06:38:35,141.0,3.0,12.0,3.0,39.0,2.0,10.0,49.0,2024-04-07 06:40:18.000,3.7.1,92.0,112.0,18.0,A headless login / logout script for 10.0.0.55 at BIT. 北京理工大学 10.0.0.55 校园网登录登出的 Python 实现.,8.0,12,True,2.0,bitsrun,https://pypi.org/project/bitsrun,2024-04-07 06:40:18.000,107.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
6,BIT_yanhe_download,https://github.com/AuYang261/BIT_yanhe_download,AuYang261/BIT_yanhe_download,academic,['python'],https://github.com/AuYang261/BIT_yanhe_download,MIT,2023-03-31 09:09:41,2024-05-17 11:21:42,2024-05-17 11:21:42,44.0,18.0,5.0,1.0,4.0,,3.0,38.0,2024-04-12 18:01:34.000,2.1,402.0,57.0,9.0,北京理工大学延河课堂回放下载器.,3.0,12,True,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,BIT-Thesis,https://github.com/BIT-thesis/LaTeX-template,BIT-thesis/LaTeX-template,template,['latex'],https://github.com/BIT-thesis/LaTeX-template,,2017-03-08 01:23:55,2024-03-21 13:18:39,2018-11-09 03:32:21,105.0,,91.0,18.0,13.0,22.0,23.0,362.0,2018-11-09 03:35:12.000,1.5,,,5.0,LaTeX template for BIT thesis.,6.0,11,False,1.0,,,,,,five_cost_QiFei/LaTeX-template,https://gitee.com/five_cost_QiFei/LaTeX-template,,,,,,,,,,,,,,,,,,,,
8,数据挖掘,https://bitdm.github.io/,BITDM/bitdm.github.io,exp,,https://github.com/BITDM/bitdm.github.io,,2015-06-13 00:49:08,2020-07-31 04:25:36,2020-07-31 04:25:25,1278.0,,156.0,8.0,391.0,1.0,1.0,42.0,,,,,,Contents for data mining course.,153.0,11,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,北理工延河课堂视频下载,https://github.com/GDDG08/YanHeKT_Downloader,GDDG08/YanHeKT_Downloader,academic,['python'],https://github.com/GDDG08/YanHeKT_Downloader,MPL-2.0,2023-04-01 15:27:44,2024-04-03 17:34:43,2024-04-03 17:34:36,28.0,13.0,6.0,1.0,2.0,,4.0,38.0,2024-04-03 17:18:00.000,Beta-2.3.4,199.0,15.0,7.0,北理工延河课堂视频下载.,3.0,11,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BIThesis-wiki,https://bithesis.bitnp.net,BITNP/BIThesis-wiki,template,['latex'],https://github.com/BITNP/BIThesis-wiki,CC0-1.0,2020-11-25 12:05:29,2024-05-22 04:13:05,2024-05-21 18:51:07,627.0,89.0,4.0,5.0,264.0,5.0,31.0,8.0,,,,,,非官方本科生毕业设计论文/研究生学位论文 LaTeX 模板（以及更多）在线文档.,14.0,11,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BIT-srun-login-script,https://github.com/coffeehat/BIT-srun-login-script,coffeehat/BIT-srun-login-script,srun,['python'],https://github.com/coffeehat/BIT-srun-login-script,MIT,2020-04-01 14:17:26,2024-04-19 12:38:58,2024-04-19 12:38:58,21.0,2.0,40.0,3.0,6.0,,3.0,150.0,,,,,,北京理工大学深澜校园网登录脚本，以实现命令行登录或者断线重连等，仅提供登录功能.,6.0,10,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BIT-CS,https://github.com/xiabee/BIT-CS,xiabee/BIT-CS,learning,,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55,2021-12-14 11:20:18,2021-12-14 11:18:13,67.0,,33.0,4.0,,2.0,3.0,203.0,,,,,,北京理工大学计算机学院课程代码/历年试卷/知识点总结等，欢迎PR.,1.0,9,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BIT101,https://bit101.cn,BIT101-dev/BIT101,agg,['web'],https://github.com/BIT101-dev/BIT101,AGPL-3.0,2022-02-22 13:24:29,2024-03-11 02:53:57,2024-03-11 02:05:02,117.0,11.0,6.0,4.0,18.0,4.0,16.0,85.0,,,,,,百丽宫攻略、课程评价及资料、课表、查成绩。.,4.0,9,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Web VPN Converter,https://webvpn.swo.moe/,spencerwooo/bit-webvpn-converter,edu-cn,['Web'],https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50,2024-05-10 03:41:15,2023-12-11 11:24:33,292.0,,27.0,4.0,250.0,,9.0,82.0,,,,,,Web VPN converter.,7.0,9,True,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
