,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,dependent_project_count,github_dependent_project_count,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20.000,2025-01-09 03:55:43,2025-01-09 03:55:26,1135.0,8.0,97.0,9.0,287.0,2.0,235.0,746.0,2025-01-03 04:33:41.000,3.8.1,18799.0,318.0,90.0,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）.,27.0,20,True,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BitSrunLoginGo,https://github.com/Mmx233/BitSrunLoginGo,Mmx233/BitSrunLoginGo,srun,['go'],https://github.com/Mmx233/BitSrunLoginGo,AGPL-3.0,2021-03-13 08:45:26.000,2024-12-20 18:04:40,2024-12-20 18:04:35,376.0,6.0,29.0,,4.0,,40.0,359.0,2024-11-02 09:02:35.000,1.6.5,8181.0,177.0,45.0,深澜校园网登录程序 Go 语言版，适用于Windows、Linux、路由器等。提供对 Docker、Go Module、OpenWrt 的支持.,6.0,17,True,1.0,-1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2,torchattack,https://github.com/spencerwooo/torchattack,daisylab-bit/torchattack,apollo,,https://github.com/spencerwooo/torchattack,MIT,2023-01-26 08:14:58.000,2025-01-25 15:11:34,2025-01-25 15:11:33,249.0,118.0,4.0,2.0,26.0,,4.0,48.0,2024-12-24 03:32:16.000,1.2.1,171.0,7.0,22.0,"🛡 A curated list of adversarial attacks in PyTorch, with a focus on transferable black-box attacks.",9.0,14,True,1.0,,,,spencerwooo/torchattack,,,,,,,,,,,,,,,,,,,,,,,
3,vouv/srun,https://github.com/vouv/srun,vouv/srun,srun,['go'],https://github.com/vouv/srun,MIT,2018-09-13 14:25:59.000,2023-07-24 14:48:53,2023-07-08 08:40:31,154.0,,25.0,4.0,6.0,,6.0,114.0,2021-01-02 10:19:25.000,1.1.5,1847.0,27.0,25.0,北京理工大学校园网命令行登录工具，多系统支持.,6.0,13,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bitsrun,https://github.com/BITNP/bitsrun,BITNP/bitsrun,srun,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05.000,2025-01-24 05:57:09,2024-12-23 13:40:46,148.0,5.0,12.0,3.0,45.0,2.0,11.0,70.0,2024-04-07 06:40:18.000,3.7.1,221.0,925.0,18.0,A headless login / logout script for 10.0.0.55 at BIT. 北京理工大学 10.0.0.55 校园网登录登出的 Python 实现.,8.0,13,True,1.0,,4.0,4.0,,bitsrun,https://pypi.org/project/bitsrun,2024-04-07 06:40:18.000,916.0,,,,,,,,,,,,,,,,,,,
5,QtUnblockNeteaseMusic,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,FrzMtrsprt/QtUnblockNeteaseMusic,apollo,,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,GPL-3.0,2022-07-22 02:48:10.000,2024-09-05 21:42:56,2024-09-05 21:42:52,223.0,,17.0,2.0,,2.0,37.0,624.0,2024-07-16 12:57:04.000,1.5.3,13721.0,457.0,18.0,"A desktop client for UnblockNeteaseMusic, made with Qt.",1.0,12,True,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,zu1k/srun,https://github.com/zu1k/srun,zu1k/srun,srun,['rust'],https://github.com/zu1k/srun,GPL-3.0,2021-11-02 13:52:39.000,2024-09-02 06:57:16,2024-05-02 01:52:28,97.0,,28.0,2.0,25.0,1.0,13.0,251.0,2024-08-03 02:32:36.000,0.6.1,3842.0,101.0,21.0,srun 深澜认证登录，超轻量、多平台，支持多拨、自动探测IP、指定网卡.,7.0,12,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,数据挖掘,https://bitdm.github.io/,BITDM/bitdm.github.io,exp,,https://github.com/BITDM/bitdm.github.io,,2015-06-13 00:49:08.000,2020-07-31 04:25:36,2020-07-31 04:25:25,1278.0,,156.0,8.0,391.0,1.0,1.0,43.0,,,,,,Contents for data mining course.,153.0,11,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BIT-Thesis,https://github.com/BIT-thesis/LaTeX-template,BIT-thesis/LaTeX-template,template,['latex'],https://github.com/BIT-thesis/LaTeX-template,,2017-03-08 01:23:55.000,2024-03-21 13:18:39,2018-11-09 03:32:21,105.0,,91.0,18.0,13.0,22.0,23.0,371.0,2018-11-09 03:35:12.000,1.5,,,5.0,LaTeX template for BIT thesis.,6.0,10,False,1.0,,,,,,,,,five_cost_QiFei/LaTeX-template,https://gitee.com/five_cost_QiFei/LaTeX-template,,,,,,,,,,,,,,,,,
9,BIT-srun-login-script,https://github.com/coffeehat/BIT-srun-login-script,coffeehat/BIT-srun-login-script,srun,['python'],https://github.com/coffeehat/BIT-srun-login-script,MIT,2020-04-01 14:17:26.000,2024-04-19 12:38:58,2024-04-19 12:38:58,21.0,,42.0,3.0,6.0,1.0,3.0,188.0,,,,,,北京理工大学深澜校园网登录脚本，以实现命令行登录或者断线重连等，仅提供登录功能.,6.0,10,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
