,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,updated_github_id,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20.000,2026-01-15 14:14:25,2026-01-15 14:14:06,1324.0,31.0,115.0,7.0,365.0,10.0,275.0,1026.0,2026-01-06 04:22:33.000,3.8.7,26200.0,770.0,50.0,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）.,30.0,21,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BitSrunLoginGo,https://github.com/Mmx233/BitSrunLoginGo,Mmx233/BitSrunLoginGo,srun,['go'],https://github.com/Mmx233/BitSrunLoginGo,AGPL-3.0,2021-03-13 08:45:26.000,2026-01-15 17:09:27,2026-01-15 17:07:47,378.0,3.0,40.0,2.0,4.0,,49.0,488.0,2026-01-15 17:31:14.000,1.6.6,10442.0,176.0,46.0,深澜校园网登录程序 Go 语言版，适用于Windows、Linux、路由器等。提供对 Docker、Go Module、OpenWrt 的支持.,6.0,16,True,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,QtUnblockNeteaseMusic,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,FrzMtrsprt/QtUnblockNeteaseMusic,apollo,,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,GPL-3.0,2022-07-22 02:48:10.000,2024-09-05 21:42:56,2024-09-05 21:42:52,223.0,,21.0,2.0,,10.0,37.0,713.0,2024-07-16 12:57:04.000,1.5.3,16819.0,391.0,18.0,"A desktop client for UnblockNeteaseMusic, made with Qt.",1.0,13,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,vouv/srun,https://github.com/vouv/srun,vouv/srun,srun,['go'],https://github.com/vouv/srun,MIT,2018-09-13 14:25:59.000,2025-04-21 14:51:21,2025-04-21 14:51:14,158.0,,27.0,3.0,8.0,1.0,6.0,125.0,2021-01-02 10:19:25.000,1.1.5,2201.0,27.0,25.0,北京理工大学校园网命令行登录工具，多系统支持.,8.0,13,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bitsrun,https://pypi.org/project/bitsrun,BITNP/bitsrun,srun,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05.000,2026-02-18 03:26:32,2026-02-18 03:26:01,158.0,4.0,15.0,1.0,55.0,3.0,11.0,92.0,2024-04-07 06:40:18.000,3.7.1,413.0,288.0,18.0,A headless login / logout script for 10.0.0.55 at BIT. 北京理工大学 10.0.0.55 校园网登录登出的 Python 实现.,8.0,13,True,1.0,5.0,5.0,bitsrun,https://pypi.org/project/bitsrun,2024-04-07 06:40:18.000,277.0,,,,,,,,,,,,,,,,,,,,,
5,torchattack,http://docs.swo.moe/torchattack/,daisylab-bit/torchattack,apollo,,https://github.com/spencerwooo/torchattack,MIT,2023-01-26 08:14:58.000,2025-12-22 09:32:40,2025-12-22 09:31:44,323.0,5.0,6.0,1.0,39.0,,5.0,69.0,2025-12-22 09:32:40.000,1.7.2,750.0,20.0,30.0,"🛡 A curated list of adversarial attacks in PyTorch, with a focus on transferable black-box attacks.",9.0,13,True,1.0,4.0,4.0,,,,,spencerwooo/torchattack,,,,,,,,,,,,,,,,,,,,
6,Yanhekt-AutoSlides,https://github.com/bit-admin/Yanhekt-AutoSlides,bit-admin/Yanhekt-AutoSlides,academic,,https://github.com/bit-admin/Yanhekt-AutoSlides,Apache-2.0,2025-03-16 12:03:16.000,2026-01-18 02:56:56,2026-01-18 02:56:45,445.0,70.0,2.0,1.0,,1.0,2.0,45.0,2026-01-12 20:32:53.000,4.1.4,530.0,48.0,17.0,北京理工大学延河课堂客户端，从屏幕录制中自动提取幻灯片，下载录播课程，AI智能过滤；内网模式优化，16倍速流畅播放，校园网内下载速率快至110MB/s。.,,13,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,zu1k/srun,https://github.com/zu1k/srun,zu1k/srun,srun,['rust'],https://github.com/zu1k/srun,GPL-3.0,2021-11-02 13:52:39.000,2026-02-03 19:31:59,2025-07-03 13:37:27,102.0,,43.0,2.0,30.0,1.0,13.0,322.0,2025-07-03 13:37:52.000,0.6.2,5011.0,98.0,22.0,srun 深澜认证登录，超轻量、多平台，支持多拨、自动探测IP、指定网卡.,8.0,12,True,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
8,数据挖掘,https://bitdm.github.io/,BITDM/bitdm.github.io,exp,,https://github.com/BITDM/bitdm.github.io,,2015-06-13 00:49:08.000,2020-07-31 04:25:36,2020-07-31 04:25:25,1278.0,,156.0,7.0,391.0,1.0,1.0,44.0,,,,,,Contents for data mining course.,153.0,11,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BIT-Thesis,https://github.com/BIT-thesis/LaTeX-template,BIT-thesis/LaTeX-template,template,['latex'],https://github.com/BIT-thesis/LaTeX-template,,2017-03-08 01:23:55.000,2024-03-21 13:18:39,2018-11-09 03:32:21,105.0,,94.0,17.0,13.0,24.0,23.0,396.0,2018-11-09 03:35:12.000,1.5,,,5.0,LaTeX template for BIT thesis.,6.0,10,False,1.0,,,,,,,,,five_cost_QiFei/LaTeX-template,https://gitee.com/five_cost_QiFei/LaTeX-template,,,,,,,,,,,,,,,,,
