,name,github_id,pypi_id,category,labels,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,new_addition,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitee_id,gitee_url,watchers_count,trending,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,docs_url
0,bitsrun,BITNP/bitsrun,bitsrun,srun,['python'],https://github.com/BITNP/bitsrun,5.0,5.0,8.0,https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05.000,2025-03-11 21:40:38,12,14.0,1.0,75.0,A headless login / logout script for 10.0.0.55 at BIT. 北京理工大学 10.0.0.55 校园网登录登出的 Python 实现.,https://pypi.org/project/bitsrun,2024-04-07 06:40:18.000,2024-04-07 06:40:18.000,3.7.1,18.0,146.0,146.0,False,1.0,,,,,,,,,,,,,,,,,,,,,
1,BIThesis,BITNP/BIThesis,,template,['latex'],https://bithesis.bitnp.net,,,30.0,https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20.000,2025-02-20 15:56:29,9,101.0,2.0,783.0,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
2,BitSrunLoginGo,Mmx233/BitSrunLoginGo,,srun,['go'],https://github.com/Mmx233/BitSrunLoginGo,2.0,2.0,6.0,https://github.com/Mmx233/BitSrunLoginGo,AGPL-3.0,2021-03-13 08:45:26.000,2026-06-23 17:47:50,9,43.0,,532.0,深澜校园网登录程序 Go 语言版，适用于Windows、Linux、路由器等。提供对 Docker、Go Module、OpenWrt 的支持.,,,,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,
3,bitsrun-rs,spencerwooo/bitsrun-rs,,srun,,https://github.com/spencerwooo/bitsrun-rs,1.0,1.0,2.0,https://github.com/spencerwooo/bitsrun-rs,MIT,2024-04-26 09:00:07.469,2025-03-14 06:30:43.965000,9,6.0,1.0,48.0,"🌐 A headless login / logout CLI for gateway (10.0.0.55) at BIT, now in Rust. 北京理工大学 10.0.0.55 校园网登录登出的 Rust 实现.",,,2025-03-14 06:30:43.965,0.5.0,8.0,,11.333333333333334,False,1.0,bitsrun,https://crates.io/crates/bitsrun,2025-03-14 06:30:43.965,11.333333333333334,9714.0,,,,,,,,,,,,,,,,
4,数据挖掘,BITDM/bitdm.github.io,,exp,,https://bitdm.github.io/,,,153.0,https://github.com/BITDM/bitdm.github.io,,2015-06-13 00:49:08.000,2020-07-31 04:25:36,9,156.0,1.0,42.0,Contents for data mining course.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
5,BIT101-dev/BIT-Login,BIT101-dev/BIT-Login,bit-login,edu-cn,,https://github.com/BIT101-dev/BIT-Login,,,1.0,https://github.com/BIT101-dev/BIT-Login,,2025-06-03 03:17:13.489,2026-07-02 04:37:55,9,1.0,1.0,7.0,北京理工大学统一身份验证登录模块.,https://pypi.org/project/bit-login,2026-07-02 04:37:48.000,2026-06-19 06:22:46.000,3.4.2,20.0,712.0,712.0,True,1.0,,,,,,True,,,,,,,,,,,,,,,
6,Virtual BIT Network,YDX-2147483647/virtual-BIT-network,,edu-cn,,https://github.com/YDX-2147483647/virtual-BIT-network,3.0,1.0,2.0,https://github.com/YDX-2147483647/virtual-BIT-network,MIT,2022-08-03 08:37:17.000,2026-07-14 00:56:46,9,,,3.0,BIT WebVPN 登录与转换（≈ Fetch API）.,,,2025-05-13 13:59:56.879,0.3.1,3.0,,27.0,True,1.0,,,,,,,virtual-bit-network,https://www.npmjs.com/package/virtual-bit-network,2025-05-13 13:59:56.879,2.0,27.0,,,,,,,,,,
7,BITCS Coursework,spencerwooo/BITCS-Coursework,,learning,,https://github.com/spencerwooo/BITCS-Coursework,,,2.0,https://github.com/spencerwooo/BITCS-Coursework,CC-BY-SA-4.0,2019-04-29 15:24:01.000,2021-06-07 05:15:07,8,30.0,1.0,240.0,不完整北京理工大学计算机学院课程项目资料清单。.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
8,zu1k/srun,zu1k/srun,,srun,['rust'],https://github.com/zu1k/srun,,,8.0,https://github.com/zu1k/srun,GPL-3.0,2021-11-02 13:52:39.000,2024-04-18 08:40:08,8,26.0,1.0,189.0,srun 深澜认证登录，超轻量、多平台，支持多拨、自动探测IP、指定网卡.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
9,BIT Online Code Helper,Crawler995/BITOnlineCodeHelper,BIT-Online-Code-Helper,academic,,https://github.com/Crawler995/BITOnlineCodeHelper,,,1.0,https://github.com/Crawler995/BITOnlineCodeHelper,MIT,2020-01-14 12:32:09.000,2020-04-16 01:33:26,8,,,1.0,Test and commit your code of BIT Online coding homework more easily and conveniently!.,https://pypi.org/project/BIT-Online-Code-Helper,2020-04-16 01:33:26.000,2020-04-16 01:33:26.000,1.0.4,6.0,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
